"","id_municipio","ano","sequencial","state","context_eventos"
"1",1100106,2020,220000671881,"RO","criagao de um clube para entretenimento e lazer social e programas de incentivo as praticas de esportes e realizagao de eventos esportivos passeios ciclisticos maratonas torneios e competicdoes entre escolas resgatar os festejos de manifestacdes culturais carnaval natal reveillon boi bumbar"
"2",1100106,2020,220000738725,"RO","estimulos a protecao do meio ambiente criar programas escolares que premiem as boas praticas ambientais nas escolas criar de grandes eventos na cidade que marquem datas comemorativas relativas a defesa do meio ambiente e da vida como um todo buscar licitacoes"
"3",1100106,2020,220000738725,"RO","o futebol de campo como espaco de convivencia coletiva e democratizar o uso dos campos destinados a sua pratica resgatar eventos de futebol na cidade com a criacao da copa guajara mirim de futebol amador desenvolver o programa escola aberta para"
"4",1100106,2020,220000738725,"RO","turistica da serra remontagem dos bois bumbas nos moldes do ano de elaboracao de um calendario com pelo menos seis eventos grandes por ano para desenvolver o turismo desenvolver o turismo no municipio atraves da qualificacao de guias turisticos taxistas atendentes"
"5",1100106,2020,220000751297,"RO","contribuintes tenham acesso aos dados atraves do portal da transparencia integrar o municipio e as cidades fronteiricas nas realizacoes de eventos culturais economicos e sociais discutir e elaborar um plano estrategico de desenvolvimento socioeconomico municipal onde se possa criar um novo"
"6",1100106,2020,220000751297,"RO","incentivar a pratica profissional de profissionais de arte este espaco podera ser aproveitado para apresentacoes artisticas culturais exposicoes e demais eventos em geral alem de ofertar apoio na criacao de politicas publicas de recuperacao de jovens em conflito com a lei"
"7",1100106,2020,220001157553,"RO","implementar o sistema municipal do desporto e lazer implementar o fundo municipal do desporto e lazer estabelecer um calendario de eventos esportivos assegurar a participacao dos atletas de alto rendimento nos jogos estaduais trabalhar atraves do fundo a captacao de recursos"
"8",1100106,2020,220001252037,"RO","arte e cultura nas escolas e na cidade incentivar e atuar na divulgacao dos movimentos culturais e artisticos locais promover eventos culturais de interesse coletivo identificar os movimentos culturais e artisticos na comunidade identificar imoveis de valor historico no municipio e"
"9",1100106,2020,220001252077,"RO","de projetos sociais para diagnostico atendimento e tratamento de doencas com criacao do programa mutirao da saude realizando programas e eventos nos bairros da cidade e seus distritos em regime de urgencia programa remedio em casa entrega em domicilio de medicamentos"
"10",1100106,2020,220001252077,"RO","visando a preservacao da identidade cultural e tradicoes da nossa regiao com promocao de intercambio cultural entre regioes feiras e eventos estimulando aprimorando e difundindo a producao cultural acoes visando identificar valorizar e promover a cultura e as atividades esportivas do"
"11",1100155,2016,220000005697,"RO","rede eletrica do matadouro e acougue publico manutencao da iluminacao pontos turisticos manutencao da rede eletrica do hospital iluminacao de eventos e festividades do municipio urbanizacao de areas publicas limpeza de canais e esgotos varrecao de pracas e vias publicas coleta"
"12",1101005,2016,220000004106,"RO","da garagem municipal e fabrica de artefatos de cimento apoiar a construcao do parque de exposicoes moderno para realizacao de eventos reforcar o parque de maquinas para melhoria constante das estradas vicinais substituindo as pontes de madeira por galerias de concreto"
"13",1101005,2016,220000004106,"RO","modalidades na zona rural e urbana promovendo integracao entre as comunidades inclusao social qualidade de vida com a realizacao de eventos campeonatos e atividades esportivas promover a integralidade das escolas municipais atraves de jogos escolares e gincanas estabelecer estrategias de recuperacao"
"14",1101005,2016,220000004106,"RO","de arborizacao apoiar os agricultores no licenciamento ambiental oferecer o apoio tecnico e educativo para os pequenos produtores rurais oportunizar eventos na area da agricultura pecuaria e meio ambiente estabelecer um percentual no orcamento para atender o setor agricola aquisicao de"
"15",1200450,2016,10000001672,"AC","envolvidos promover a formacao continu ada de agentes sociais de lazer e esporte recreativo incentivar a organi zacao coletiva de eventos de esporte e lazer para envolver a populacao local reconhecer as qualidades da cultura local na apropriacao do direito ao"
"16",1200450,2016,10000002661,"AC","na zona urbana e rural visando impulsionar o desporto no campo e na cidade apoiar as igrejas na realizacao de eventos religiosos criar uma zona livre de wifi na praca assistencia social e habitacao manter atendimento de assistencia continuo com marcacao"
"17",1200450,2020,10001058727,"AC","infantil realizar amplo programa de formacao continuada para os profissionais da educacao basica com a definicao anual do calendario de eventos implantar curso preparatorio gratuito para o enem em parceria com see sistema s ufac ifac dentre outros criar o programa"
"18",1200450,2020,10001058727,"AC","e idosas ao esporte promovendo o fortalecimento e o acesso das guiomaenses as modalidades esportivas desenvolvendo acoes de competicao e eventos esportivos futebol volei handebol etc serao ainda criados mecanismos de enfrentamento a discriminacao contra as mulheres desportistas proporcionar atencao as"
"19",1200450,2020,10001058727,"AC","a distribuicao de materiais didaticos para auxilio educacional incentivar a producao cultural voltada as mulheres com a realizacao de oficinas eventos e o apoio a participacao das mulheres na realizacao das festas culturais do municipio arraial expoamendoim etc estimular a participacao"
"20",1200450,2020,10001058727,"AC","a atuacao de profissionais de educacao fisica nas academias ao ar livre existentes para orientacao e acompanhamento dos praticantes promover eventos esportivos e de recreacao com as pessoas da terceira idade e incentivar a participacao dos nossos idosos em competicoes apoiar"
"21",1200450,2020,10001058727,"AC","as pessoas da terceira idade e incentivar a participacao dos nossos idosos em competicoes apoiar ou estimular a realizacao de eventos e praticas de esportes recreativos nas comunidades e bairros como incentivo a adocao de modo de vida saudavel introducao promover"
"22",1200450,2020,10001061241,"AC","para uma central de seguranca municipal cultura esporte e lazer programas de incentivo as praticas de esportes e realizacao de eventos esportivos passeios ciclisticos maratonas torneios e competicoes entre escolas resgatar os festejos de manifestacoes culturais carnaval natal reveillon criacao do"
"23",1300607,2012,40000002268,"AM","as comunidades religiosas possam contribuir para a coletividade em parceria com a administracao municipal apoiar e promover foruns debates e eventos que fomentem a religiosidade na cidade e na regiao respeitando a diversidade de orientacao religiosa e a separacao igreja estado"
